%d	D	B	C	C_0	P_u	v_ref	v_lim	mass
%[mm]	[mm]	[mm]	[N]	[N]	[N]	[rpm]	[rpm]	[g]
0.6	2.5	1.2	34	7	0	260000	160000	0.02
1	3	1	52	12	1	240000	150000	0.03
1	3	1.5	52	12	1	240000	150000	0.1
1	4	1.6	79	18	1	220000	140000	0.1
1.2	4	1.8	62	16	1	220000	140000	0.1
1.5	4	1.2	62	16	1	220000	140000	0.1
1.5	5	2	135	36	2	200000	120000	0.2
1.5	6	2.5	190	51	2	180000	110000	0.38
2	4	1.2	68	19	1	200000	130000	0.1
2	5	1.5	94	25	1	200000	120000	0.15
2	5	2	94	25	1	200000	120000	0.16
2	6	2.3	190	51	2	180000	110000	0.28
2	6	2.5	190	51	2	180000	110000	0.3
2	7	2.8	221	67	3	160000	100000	0.5
2	7	2.5	221	67	3	160000	100000	0.42
2.5	6	1.8	117	36	2	170000	110000	0.2
2.5	7	2.5	221	67	3	160000	100000	0.4
2.5	8	2.8	312	88	4	160000	95000	0.6
2.5	8	2.5	319	90	4	150000	95000	0.4
3	6	2	117	36	2	170000	110000	0.2
3	7	2	178	57	2	160000	100000	0.34
3	8	3	319	90	4	150000	95000	0.7
3	8	2.5	225	72	3	150000	90000	0.6
3	9	3	325	95	4	140000	90000	0.8
3	9	2.5	325	95	4	140000	90000	0.75
3	10	4	358	110	5	140000	90000	1.6
3	13	5	741	250	11	110000	70000	3.1
4	7	2	178	57	3	150000	95000	0.2
4	8	2	225	72	3	150000	90000	0.4
4	9	2.5	364	114	5	140000	85000	0.6
4	10	3	553	245	11	130000	80000	1
4	11	4	540	176	8	130000	80000	2
4	12	4	540	176	8	130000	80000	2
4	13	5	741	250	11	110000	70000	2.8
4	16	5	761	265	11	100000	63000	5
5	8	2	174	61	3	140000	85000	0.3
5	9	2.5	247	85	4	130000	85000	0.5
5	10	3	247	85	4	130000	85000	1
5	11	3	403	143	6	120000	75000	1.2
5	13	4	761	335	14	110000	70000	2.4
5	14	5	761	260	11	110000	67000	3.1
5	16	5	1430	630	27	100000	63000	4.6
5	19	6	2030	880	38	85000	56000	7.5
6	10	2.5	286	112	5	120000	75000	0.6
6	12	3	403	146	6	110000	70000	1.3
6	13	3.5	618	224	10	110000	67000	1.9
6	15	5	761	265	11	100000	63000	3.6
6	17	6	1950	830	36	95000	60000	5.5
6	19	6	1530	585	25	85000	56000	7.2
