% Force	Stroke	Speed	Weight	Volume	Voltage	Current
% [N]	[mm]	[mm/s]	[g]	[mm^3]	[V]	[A]
155.88	25.4	50.8	930.7	483910	12	5
155.88	50.8	50.8	953.4	632810	12	5
155.88	76.2	50.8	976.1	781710	12	5
155.88	101.6	50.8	998.8	930600	12	5
155.88	152.4	50.8	1021.5	1228400	12	5
155.88	228.6	50.8	1203.1	1675090	12	5
155.88	184.8	50.8	1407.4	2121770	12	5
155.88	457.2	50.8	1566.3	3015150	12	5
155.88	609.6	50.8	1725.2	3908530	12	5
668.06	25.4	12.7	930.7	409470	12	5
668.06	50.8	12.7	953.4	483910	12	5
668.06	76.2	12.7	976.1	558360	12	5
668.06	101.6	12.7	998.8	632810	12	5
668.06	152.4	12.7	1021.5	781710	12	5
668.06	228.6	12.7	1203.1	1005050	12	5
668.06	184.8	12.7	1407.4	1228400	12	5
668.06	457.2	12.7	1566.3	1675090	12	5
668.06	609.6	12.7	1725.2	2121770	12	5
890.75	25.4	7.62	930.7	409470	12	5
890.75	50.8	7.62	953.4	483910	12	5
890.75	76.2	7.62	976.1	558360	12	5
890.75	101.6	7.62	998.8	632810	12	5
890.75	152.4	7.62	1021.5	781710	12	5
890.75	228.6	7.62	1203.1	1005050	12	5
890.75	184.8	7.62	1407.4	1228400	12	5
890.75	457.2	7.62	1566.3	1675090	12	5
890.75	609.6	7.62	1725.2	2121770	12	5
668.06	25.4	12.95	681	501090	12	5
668.06	50.8	12.95	726.4	653400	12	5
668.06	76.2	12.95	771.8	805710	12	5
668.06	101.6	12.95	794.5	958020	12	5
668.06	152.4	12.95	885.3	1262630	12	5
668.06	203.2	12.95	953.4	1567250	12	5
668.06	228.6	12.95	1021.5	1719560	12	5
668.06	254	12.95	1044.2	1871860	12	5
668.06	304.8	12.95	1135	2176480	12	5
668.06	457.2	12.95	1362	3090330	12	5
668.06	609.6	12.95	1589	4004180	12	5
668.06	762	12.95	1816	4918020	12	5
668.06	1016	12.95	2201.9	6441100	12	5
222.69	25.4	23.88	681	501090	12	5
222.69	50.8	23.88	681	653400	12	5
222.69	76.2	23.88	726.4	805710	12	5
222.69	101.6	23.88	771.8	958020	12	5
222.69	152.4	23.88	794.5	1262630	12	5
222.69	203.2	23.88	885.3	1567250	12	5
222.69	228.6	23.88	953.4	1719560	12	5
222.69	254	23.88	1021.5	1871860	12	5
222.69	304.8	23.88	1044.2	2176480	12	5
222.69	355.6	23.88	1135	2481100	12	5
222.69	508	23.88	1362	3394940	12	5
222.69	762	23.88	1589	4918020	12	5
222.69	1016	23.88	1816	6441100	12	5
155.88	25.4	30.48	2201.9	501090	12	5
155.88	50.8	30.48	681	653400	12	5
155.88	76.2	30.48	726.4	805710	12	5
155.88	101.6	30.48	771.8	958020	12	5
155.88	152.4	30.48	794.5	1262630	12	5
155.88	203.2	30.48	885.3	1567250	12	5
155.88	228.6	30.48	953.4	1719560	12	5
155.88	254	30.48	1021.5	1871860	12	5
155.88	304.8	30.48	1044.2	2176480	12	5
155.88	355.6	30.48	1135	2481100	12	5
155.88	508	30.48	1362	3394940	12	5
155.88	762	30.48	1589	4918020	12	5
155.88	1016	30.48	1816	6441100	12	5
120	50	45	2201.9	716350	12	4
120	100	45	681	106420	12	4
120	300	45	1500	2455570	12	4
240	300	13	1500	2455570	12	3.5
500	300	13	1500	2455570	12	3.2
750	300	8	1500	2455570	12	3
1000	300	6	1500	2455570	12	2.8
155.88	127	50.8	953.4	1179870	12	5
155.88	254	50.8	1180.4	1966450	12	5
155.88	381	50.8	1271.2	2753030	12	5
155.88	508	50.8	1498.2	3539610	12	5
155.88	635	50.8	1816	4326180	12	5
66.81	50.8	25.4	499.4	311560	12	2.5
66.81	101.6	25.4	635.6	422340	12	2.5
66.81	152.4	25.4	681	533110	12	2.5
66.81	203.2	25.4	771.8	643890	12	2.5
66.81	254	25.4	862.6	754670	12	2.5
66.81	304.8	25.4	953.4	865440	12	2.5
89.07	25.4	11	324.61	117320	12	1.4
89.07	50.8	11	349.58	144310	12	1.4
89.07	101.6	11	399.52	198290	12	1.4
89.07	127	11	424.49	225280	12	1.4
89.07	152.4	11	449.46	252270	12	1.4
89.07	177.8	11	474.43	279260	12	1.4
89.07	203.2	11	499.4	306250	12	1.4
489.91	25.4	3.51	324.61	117320	12	1.4
489.91	50.8	3.51	349.58	144310	12	1.4
489.91	101.6	3.51	399.52	198290	12	1.4
489.91	127	3.51	424.49	225280	12	1.4
489.91	152.4	3.51	449.46	252270	12	1.4
489.91	177.8	3.51	474.43	279260	12	1.4
489.91	203.2	3.51	499.4	306250	12	1.4
90	50.8	83	1110	1205200	12	4
260	50.8	37	1110	1205200	12	4
