% Storage pressure 	Stored Volume 		Outer Volume		Weight
% [bar]  [mm^3]	[mm^3]		[g]
300	1100000	2328312.85539174	888
200	800000	1523966.96130232	1350
300	800000	1862650.28431339	730
200	800000	1715400.0674919		1200
300	1100000	1920403.33208258	940
300	1200000	2001964.21053683	830
300	1300000	2173857.57895643	990
300	1500000	2233279.67762064	970
300	1100000	1463196.77840945	790
200	200000	441786.466911065	490
300	1100000	1886993.70038789	940
200	800000	1389691.22715871	1400
300	2000000	2908337.25304238	1340
300	1500000	2356756.04987917	1140
300	1100000	1805630.37765073	940
200	200000	495262.1		663
