%Bore diameter	Rod diameter	Stroke	Mass	Volume
%[mm]	[mm]	[mm]	[g]	[mm³]
7.9375	3.175	12.7	24.947582	3671.73765403494
7.9375	3.175	25.4	27.215544	4606.2873934145
7.9375	3.175	38.1	29.483506	5540.83713279406
7.9375	3.175	50.8	31.751468	6475.38687217363
7.9375	3.175	63.5	34.01943	7409.93661155319
7.9375	3.175	76.2	36.287392	8344.48635093275
7.9375	3.175	101.6	40.823316	10213.5858296919
11.1125	4.7752	12.7	36.287392	8673.62547029993
11.1125	4.7752	25.4	40.823316	10509.866894528
11.1125	4.7752	38.1	45.35924	12346.1083187561
11.1125	4.7752	50.8	49.895164	14182.3497429842
11.1125	4.7752	63.5	54.431088	16018.5911672122
11.1125	4.7752	76.2	58.967012	17854.8325914403
11.1125	4.7752	101.6	68.03886	21527.3154398964
14.2875	4.7752	12.7	45.35924	14208.8900546566
14.2875	4.7752	25.4	49.895164	16950.0793673354
14.2875	4.7752	38.1	54.431088	19691.2686800142
14.2875	4.7752	50.8	58.967012	22432.4579926929
14.2875	4.7752	63.5	63.502936	25173.6473053717
14.2875	4.7752	76.2	68.03886	27914.8366180504
14.2875	4.7752	101.6	77.110708	33397.215243408
19.05	6.35	12.7	102.05829	34585.2984008084
19.05	6.35	25.4	108.862176	39914.4359661291
19.05	6.35	38.1	115.666062	45243.5735314498
19.05	6.35	50.8	122.469948	50572.7110967705
19.05	6.35	63.5	129.273834	55901.8486620912
19.05	6.35	76.2	136.07772	61230.9862274119
19.05	6.35	101.6	149.685492	71889.2613580533
19.05	6.35	127	163.293264	82547.5364886948
19.05	6.35	152.4	176.901036	93205.8116193362
22.225	6.35	12.7	120.201986	39333.8284409915
22.225	6.35	25.4	127.005872	45397.9864000612
22.225	6.35	38.1	133.809758	51462.1443591309
22.225	6.35	50.8	140.613644	57526.3023182005
22.225	6.35	63.5	147.41753	63590.4602772702
22.225	6.35	76.2	154.221416	69654.6182363399
22.225	6.35	101.6	167.829188	81782.9341544793
22.225	6.35	127	181.43696	93911.2500726187
22.225	6.35	152.4	195.044732	106039.565990758
26.9875	7.9502	12.7	161.025302	61714.4311081716
26.9875	7.9502	25.4	172.365112	70489.410741978
26.9875	7.9502	38.1	183.704922	79264.3903757844
26.9875	7.9502	50.8	195.044732	88039.3700095909
26.9875	7.9502	63.5	206.384542	96814.3496433973
26.9875	7.9502	76.2	217.724352	105589.329277204
26.9875	7.9502	101.6	240.403972	123139.288544816
26.9875	7.9502	127	263.083592	140689.247812429
26.9875	7.9502	152.4	285.763212	158239.207080042
31.75	11.1252	12.7	281.227288	105851.508366251
31.75	11.1252	25.4	299.370984	118710.166298656
31.75	11.1252	38.1	317.51468	131568.82423106
31.75	11.1252	50.8	335.658376	144427.482163465
31.75	11.1252	63.5	353.802072	157286.14009587
31.75	11.1252	76.2	371.945768	170144.798028274
31.75	11.1252	101.6	408.23316	195862.113893083
31.75	11.1252	127	444.520552	221579.429757892
31.75	11.1252	152.4	480.807944	247296.745622702
31.75	11.1252	177.8	517.095336	273014.061487511
31.75	11.1252	203.2	553.382728	298731.37735232
31.75	11.1252	228.6	589.67012	324448.693217129
31.75	11.1252	254	625.957512	350166.009081938
31.75	11.1252	279.4	662.244904	375883.324946747
31.75	11.1252	304.8	698.532296	401600.640811557
38.1	11.1252	12.7	331.122452	132913.291032474
38.1	11.1252	25.4	349.266148	149868.80008714
38.1	11.1252	38.1	367.409844	166824.309141806
38.1	11.1252	50.8	385.55354	183779.818196472
38.1	11.1252	63.5	403.697236	200735.327251138
38.1	11.1252	76.2	421.840932	217690.836305804
38.1	11.1252	101.6	458.128324	251601.854415136
38.1	11.1252	127	494.415716	285512.872524469
38.1	11.1252	152.4	530.703108	319423.890633801
38.1	11.1252	177.8	566.9905	353334.908743133
38.1	11.1252	203.2	603.277892	387245.926852465
38.1	11.1252	228.6	639.565284	421156.944961798
38.1	11.1252	254	675.852676	455067.96307113
38.1	11.1252	279.4	712.140068	488978.981180462
38.1	11.1252	304.8	748.42746	522889.999289794
44.45	12.7	12.7	610.081778	228654.261421746
44.45	12.7	25.4	635.02936	252144.848837465
44.45	12.7	38.1	659.976942	275635.436253185
44.45	12.7	50.8	684.924524	299126.023668904
44.45	12.7	63.5	709.872106	322616.611084623
44.45	12.7	76.2	734.819688	346107.198500342
44.45	12.7	101.6	784.714852	393088.373331781
44.45	12.7	127	834.610016	440069.54816322
44.45	12.7	152.4	884.50518	487050.722994658
44.45	12.7	177.8	934.400344	534031.897826097
44.45	12.7	203.2	984.295508	581013.072657535
44.45	12.7	228.6	1034.190672	627994.247488974
44.45	12.7	254	1084.085836	674975.422320413
44.45	12.7	279.4	1133.981	721956.597151851
44.45	12.7	304.8	1183.876164	768937.77198329
50.8	15.875	12.7	669.04879	290838.600986192
50.8	15.875	25.4	703.06822	321140.014439552
50.8	15.875	38.1	737.08765	351441.427892912
50.8	15.875	50.8	771.10708	381742.841346272
50.8	15.875	63.5	805.12651	412044.254799632
50.8	15.875	76.2	839.14594	442345.668252992
50.8	15.875	101.6	907.1848	502948.495159712
50.8	15.875	127	975.22366	563551.322066432
50.8	15.875	152.4	1043.26252	624154.148973152
50.8	15.875	177.8	1111.30138	684756.975879871
50.8	15.875	203.2	1179.34024	745359.802786591
63.5	15.875	12.7	936.668306	462610.969372237
63.5	15.875	25.4	898.112952	509467.160040906
63.5	15.875	38.1	898.112952	556323.350709575
63.5	15.875	50.8	898.112952	603179.541378244
63.5	15.875	63.5	898.112952	650035.732046913
63.5	15.875	76.2	898.112952	696891.922715582
63.5	15.875	101.6	898.112952	790604.30405292
63.5	15.875	127	898.112952	884316.685390258
63.5	15.875	152.4	898.112952	978029.066727596
63.5	15.875	177.8	898.112952	1071741.44806493
63.5	15.875	203.2	898.112952	1165453.82940227
63.5	15.875	228.6	898.112952	1259166.21073961
63.5	15.875	254	898.112952	1352878.59207695
63.5	15.875	279.4	898.112952	1446590.97341428
63.5	15.875	304.8	898.112952	1540303.35475162
76.2	19.05	12.7	1573.965628	740730.745237591
76.2	19.05	25.4	1632.93264	808447.141459549
76.2	19.05	38.1	1691.899652	876163.537681508
76.2	19.05	50.8	1750.866664	943879.933903466
76.2	19.05	63.5	1809.833676	1011596.33012542
76.2	19.05	76.2	1868.800688	1079312.72634738
76.2	19.05	101.6	1986.734712	1214745.5187913
76.2	19.05	127	2104.668736	1350178.31123522
76.2	19.05	152.4	2222.60276	1485611.10367913
76.2	19.05	177.8	2340.536784	1621043.89612305
76.2	19.05	203.2	2458.470808	1756476.68856696
76.2	19.05	228.6	2576.404832	1891909.48101088
76.2	19.05	254	2694.338856	2027342.2734548
76.2	19.05	279.4	2812.27288	2162775.06589871
76.2	19.05	304.8	2930.206904	2298207.85834263
