%Holding torque	Current	Voltage	Mass	Volume Side length
%[Nm]	[A]	[V]	[g]	[mm^3] [mm]
0.31	1.2	4	350	85900	42
0.02	0.6	3.9	60	7300	20
0.06	0.67	3.5	110	25100	28
0.09	0.67	4.5	140	35300	28
0.06	0.28	7.4	130	31900	35
0.10	0.5	10	140	34300	35
0.14	1	2.7	180	44100	35
0.88	1	7.4	700	178100	57
0.88	2	3.6	700	178100	57
1.28	2.8	2.5	700	178100	57
1.37	2	4.5	1000	241800	57
0.39	1	5.7	450	130400	57
1.37	1	8.6	1000	241800	57
1.86	2.8	3.2	1000	241800	57
0.36	1.7	2.8	285	68000	42
0.01	0.3	6.3	27	5900	14
0.19	1	5.4	140	32800	42
0.10	1	4.5	90	27500	50
0.08	1	3.5	70	20500	42
0.22	1	5.9	150	40000	50
